Array length | Linear index | Binary index | Datatype     | Linear Milliseconds  | Binary Milliseconds  | Binary Ms /w sort    | Sort Milliseconds    
1000000      | 560532       | 522398       | Array        | 0,844900 ms          | 0,000300 ms          | 170,226700 ms        | 170,226400 ms       Binært søk 2816,33 ganger raskere. Med sortering: Lineært søk 201,48 ganger raskere.
1000000      | 560532       | 522398       | List         | 1,593400 ms          | 0,000500 ms          | 274,007100 ms        | 274,006600 ms       Binært søk 3186,80 ganger raskere. Med sortering: Lineært søk 171,96 ganger raskere.
1000000      | 560532       | ------       | LinkedList   | 1,893600 ms          | ------ ms            | ------ ms            | ------ ms           
1000000      | Nonexistent  | Nonexistent  | Array        | 1,405300 ms          | 0,000300 ms          | 159,581400 ms        | 159,581100 ms       Binært søk 4684,33 ganger raskere. Med sortering: Lineært søk 113,56 ganger raskere.
1000000      | Nonexistent  | Nonexistent  | List         | 2,548600 ms          | 0,000200 ms          | 260,514100 ms        | 260,513900 ms       Binært søk 12743,00 ganger raskere. Med sortering: Lineært søk 102,22 ganger raskere.
1000000      | Nonexistent  | ------       | LinkedList   | 3,075700 ms          | ------ ms            | ------ ms            | ------ ms           
1000000      | Nonexistent  | Nonexistent  | Array        | 1,226500 ms          | 0,000300 ms          | 185,273700 ms        | 185,273400 ms       Binært søk 4088,33 ganger raskere. Med sortering: Lineært søk 151,06 ganger raskere.
1000000      | Nonexistent  | Nonexistent  | List         | 2,647500 ms          | 0,000300 ms          | 260,895900 ms        | 260,895600 ms       Binært søk 8825,00 ganger raskere. Med sortering: Lineært søk 98,54 ganger raskere.
1000000      | Nonexistent  | ------       | LinkedList   | 3,977000 ms          | ------ ms            | ------ ms            | ------ ms           
1000000      | Nonexistent  | Nonexistent  | Array        | 1,239900 ms          | 0,000200 ms          | 182,137900 ms        | 182,137700 ms       Binært søk 6199,50 ganger raskere. Med sortering: Lineært søk 146,90 ganger raskere.
1000000      | Nonexistent  | Nonexistent  | List         | 2,679900 ms          | 0,000300 ms          | 271,617800 ms        | 271,617500 ms       Binært søk 8933,00 ganger raskere. Med sortering: Lineært søk 101,35 ganger raskere.
