Array length | Linear index | Binary index | Datatype     | Linear Milliseconds  | Binary Milliseconds  | Binary Ms /w sort    | Sort Milliseconds    
1000000      | 360894       | 987552       | Array        | 0,551100             | 0,000300 ms          | 170,448400 ms        | 170,448100 ms       Binært søk 1837,00 ganger raskere. Med sortering: Lineært søk 309,29 ganger raskere.
1000000      | 117626       | 8958         | Array        | 0,142500             | 0,006500 ms          | 183,589000 ms        | 183,582500 ms       Binært søk 21,92 ganger raskere. Med sortering: Lineært søk 1288,34 ganger raskere.
1000000      | 679468       | 64356        | Array        | 0,837500             | 0,000400 ms          | 169,602600 ms        | 169,602200 ms       Binært søk 2093,75 ganger raskere. Med sortering: Lineært søk 202,51 ganger raskere.
1000000      | Not found    | Not found    | Array        | 1,428000             | 0,000200 ms          | 166,730500 ms        | 166,730300 ms       Binært søk 7140,00 ganger raskere. Med sortering: Lineært søk 116,76 ganger raskere.
1000000      | Not found    | Not found    | Array        | 1,256700             | 0,000300 ms          | 181,832000 ms        | 181,831700 ms       Binært søk 4189,00 ganger raskere. Med sortering: Lineært søk 144,69 ganger raskere.
1000000      | Not found    | Not found    | Array        | 1,606400             | 0,000500 ms          | 177,760600 ms        | 177,760100 ms       Binært søk 3212,80 ganger raskere. Med sortering: Lineært søk 110,66 ganger raskere.
10000000     | 402994       | 2206449      | Array        | 0,501500             | 0,001800 ms          | 1809,217600 ms       | 1809,215800 ms      Binært søk 278,61 ganger raskere. Med sortering: Lineært søk 3607,61 ganger raskere.
10000000     | 4191773      | 5502824      | Array        | 5,166600             | 0,001900 ms          | 1789,479300 ms       | 1789,477400 ms      Binært søk 2719,26 ganger raskere. Med sortering: Lineært søk 346,36 ganger raskere.
10000000     | 701757       | 6773118      | Array        | 0,896500             | 0,001700 ms          | 1789,746900 ms       | 1789,745200 ms      Binært søk 527,35 ganger raskere. Med sortering: Lineært søk 1996,37 ganger raskere.
10000000     | Not found    | Not found    | Array        | 12,453700            | 0,000600 ms          | 1807,700200 ms       | 1807,699600 ms      Binært søk 20756,17 ganger raskere. Med sortering: Lineært søk 145,15 ganger raskere.
10000000     | Not found    | Not found    | Array        | 15,258900            | 0,000700 ms          | 1817,840000 ms       | 1817,839300 ms      Binært søk 21798,43 ganger raskere. Med sortering: Lineært søk 119,13 ganger raskere.
10000000     | Not found    | Not found    | Array        | 12,422000            | 0,000600 ms          | 1788,702800 ms       | 1788,702200 ms      Binært søk 20703,33 ganger raskere. Med sortering: Lineært søk 143,99 ganger raskere.
1000         | 697          | 347          | Array        | 0,016300             | 0,012800 ms          | 0,152500 ms          | 0,139700 ms         Binært søk 1,27 ganger raskere. Med sortering: Lineært søk 9,36 ganger raskere.
1000         | 256          | 842          | Array        | 0,000600             | 0,000100 ms          | 0,129100 ms          | 0,129000 ms         Binært søk 6,00 ganger raskere. Med sortering: Lineært søk 215,17 ganger raskere.
1000         | 408          | 223          | Array        | 0,000800             | 0,000200 ms          | 0,128200 ms          | 0,128000 ms         Binært søk 4,00 ganger raskere. Med sortering: Lineært søk 160,25 ganger raskere.
1000         | Not found    | Not found    | Array        | 0,001400             | 0,000100 ms          | 0,103500 ms          | 0,103400 ms         Binært søk 14,00 ganger raskere. Med sortering: Lineært søk 73,93 ganger raskere.
1000         | Not found    | Not found    | Array        | 0,002200             | 0,000100 ms          | 0,138300 ms          | 0,138200 ms         Binært søk 22,00 ganger raskere. Med sortering: Lineært søk 62,86 ganger raskere.
1000         | Not found    | Not found    | Array        | 0,001400             | 0,000100 ms          | 0,105300 ms          | 0,105200 ms         Binært søk 14,00 ganger raskere. Med sortering: Lineært søk 75,21 ganger raskere.
10000        | 621          | 4429         | Array        | 0,001400             | 0,000300 ms          | 1,323400 ms          | 1,323100 ms         Binært søk 4,67 ganger raskere. Med sortering: Lineært søk 945,29 ganger raskere.
10000        | 1322         | 7776         | Array        | 0,003700             | 0,000200 ms          | 1,491600 ms          | 1,491400 ms         Binært søk 18,50 ganger raskere. Med sortering: Lineært søk 403,14 ganger raskere.
10000        | 8548         | 9772         | Array        | 0,016700             | 0,000200 ms          | 1,643700 ms          | 1,643500 ms         Binært søk 83,50 ganger raskere. Med sortering: Lineært søk 98,43 ganger raskere.
